id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50565242,"Amazing, central room, 5 min walk to Cabot Circus",408541474,Megan,,Lawrence Hill,51.45568,-2.58025,Private room,47,2,12,2022-08-30,0.66,1,56,8,
50568032,Large room in a tranquil city oasis,19430164,Katy,,Windmill Hill,51.43933,-2.59125,Shared room,69,1,7,2022-09-25,0.38,2,19,4,
50583833,Light and airy top floor Victorian flat in Clifton,144813038,Joanna,,Clifton Down,51.46463,-2.61434,Entire home/apt,126,2,61,2022-09-26,3.46,1,182,30,
50608381,"Beautiful large, comfortable Bristol family home",6146085,Suzi,,Bishopston & Ashley Down,51.47842,-2.58324,Entire home/apt,140,2,8,2022-08-21,0.47,1,78,4,
50610677,Large 2bed Bristol house with south facing garden,141813718,Niall,,Bishopsworth,51.42882,-2.61143,Entire home/apt,110,3,10,2022-10-24,0.65,1,0,6,
50610919,Hotwells Modern Mews,65192629,Hopewell,,Clifton,51.45032,-2.61797,Entire home/apt,136,2,34,2022-10-28,1.92,141,118,19,
50617150,"Peaceful two-bed home near station, child-friendly",19430164,Katy,,Windmill Hill,51.44047,-2.59128,Entire home/apt,214,7,10,2022-11-12,0.57,2,32,5,
50646782,Spacious  House  8/11 people- Redland-Free parking,119508990,Sarah,,Redland,51.47153,-2.59945,Entire home/apt,192,3,13,2022-08-28,0.75,2,24,9,
50654599,Lovely cozy and modern private room,77427516,Jo,,Horfield,51.49115,-2.58625,Private room,49,1,79,2022-12-11,4.49,1,359,52,
50658124,Bright and spacious 1 bedroom flat in Redland,240235677,Matthew,,Redland,51.47041,-2.60165,Entire home/apt,95,2,15,2022-12-04,2.98,1,352,15,
50665912,Cosy Double Bedroom in Clifton Georgian Crescent,49436089,Henrique,,Clifton,51.45369,-2.61827,Private room,45,1,20,2022-06-12,1.12,2,0,8,
50677662,"Beautiful, well positioned flat in Clifton Wood",9506181,Daniel,,Clifton,51.45057,-2.60971,Entire home/apt,105,2,13,2022-11-28,1.99,1,177,13,
50690473,"Contemporary 2 bed flat in Bristol, free parking",409628630,Jamie,,Southville,51.44225,-2.60316,Entire home/apt,88,1,42,2022-09-26,2.32,3,0,24,
50691383,Private room with en-suite bathroom and city views,402587604,Helena,,Windmill Hill,51.44159,-2.57197,Private room,49,2,49,2022-12-20,3.06,1,146,36,
50694465,Centrally located Light warm & welcoming apartment,327608603,Anya,,Southville,51.44401,-2.59329,Entire home/apt,85,2,22,2022-12-04,1.29,1,346,11,
50741927,Contemporary Large 2 Bedroom Apartment with Parkin,65192629,Hopewell,,Southville,51.4451,-2.60521,Entire home/apt,159,1,36,2022-08-08,2.01,141,271,15,
50744938,"Clifton Mewsing – with garage, balcony & courtyard",150376371,Sophie,,Clifton,51.45639,-2.62204,Entire home/apt,195,3,20,2022-08-29,1.29,1,118,16,
50800352,Bristol City Stays - 1 Bed - Pembroke Court,410588887,Louise,,Ashley,51.45938,-2.58766,Entire home/apt,112,2,40,2022-12-24,2.58,10,355,39,
50825278,Fishponds Pondarosa,382836301,Dave,,Eastville,51.47372,-2.54701,Entire home/apt,183,2,0,,,4,272,0,
50829147,Light and airy double en-suite loft room,410897425,Allison,,Easton,51.46047,-2.55998,Private room,42,2,1,2021-08-01,0.06,1,0,0,
50830723,Quick Break BS16 2EG,5567174,Nigit,,Frome Vale,51.48296,-2.5352,Private room,45,2,2,2022-11-19,0.36,5,296,2,
50837328,Spacious 1 bed flat  close to the Gloucester Road,5698765,Helen,,Redland,51.47843,-2.59581,Entire home/apt,75,2,50,2022-12-11,2.91,1,328,33,
50865150,Grand & Graceful One Bed Flat in Clifton Village,411241737,Tim,,Clifton,51.45653,-2.61356,Entire home/apt,96,1,43,2022-12-12,2.54,1,2,24,
50868065,St Paul’s Suites - Apartment 3,236481623,Mairead,,Ashley,51.46677,-2.57846,Entire home/apt,94,2,46,2022-12-01,3.00,34,263,40,
50883021,Your Apartment The Clarence - No.2,125651447,Your Apartment,,Clifton,51.45741,-2.60864,Entire home/apt,136,1,1,2022-07-25,0.19,67,289,1,
50883162,Your Apartment Dover Place - No.3,125651447,Your Apartment,,Central,51.45638,-2.60723,Entire home/apt,225,1,10,2022-09-19,0.70,67,344,7,
50907359,Clifton Garden Flat - 1 min from Suspension Bridge,312176023,Joni,,Clifton,51.45628,-2.62233,Entire home/apt,55,2,98,2022-11-21,5.63,1,11,59,
50957517,Private double in Edwardian townhouse (Room 3),30898394,Matt,,Frome Vale,51.48248,-2.526,Private room,39,1,63,2022-11-20,3.66,3,55,40,
50969384,Stunning Top Floor Flat in Clifton Crescent,49436089,Henrique,,Clifton,51.45351,-2.61941,Entire home/apt,175,1,13,2022-07-24,0.77,2,0,7,
51023144,Cheerful 3 bedroom home with fireplace and patio,412779819,Pedro,,Stoke Bishop,51.48503,-2.64467,Entire home/apt,215,2,29,2022-08-14,1.67,1,0,12,
51035160,"Bright double bedroom,  private bathroom, new home",32927703,Tom,,Bishopsworth,51.42792,-2.61212,Private room,55,2,12,2022-04-01,0.85,1,0,5,
51046499,Stunning whole 3-bed house with garden in Clifton,94008679,Caroline,,Clifton Down,51.46291,-2.61036,Entire home/apt,135,3,18,2022-12-08,3.33,1,94,18,
51085451,"Two bed, spacious flat by Temple Meads",147960157,Gary,,Central,51.44714,-2.58538,Entire home/apt,140,9,4,2021-09-19,0.24,3,27,0,
